timestamp,demand_mw,area,feeder
2023-01-01 00:00:00,884.4,South Delhi,BRPL-South
2023-01-01 00:00:00,731.26,North Delhi,TPDDL-North
2023-01-01 00:00:00,674.11,West Delhi,BRPL-West
2023-01-01 00:00:00,450.73,East Delhi,BYPL-East
2023-01-01 00:00:00,220.47,Central Delhi,NDMC-Central
2023-01-01 01:00:00,905.01,South Delhi,BRPL-South
2023-01-01 01:00:00,727.55,North Delhi,TPDDL-North
2023-01-01 01:00:00,654.36,West Delhi,BRPL-West
2023-01-01 01:00:00,498.39,East Delhi,BYPL-East
2023-01-01 01:00:00,254.27,Central Delhi,NDMC-Central
2023-01-01 02:00:00,949.86,South Delhi,BRPL-South
2023-01-01 02:00:00,753.37,North Delhi,TPDDL-North
2023-01-01 02:00:00,671.28,West Delhi,BRPL-West
2023-01-01 02:00:00,503.11,East Delhi,BYPL-East
2023-01-01 02:00:00,234.4,Central Delhi,NDMC-Central
2023-01-01 03:00:00,959.48,South Delhi,BRPL-South
2023-01-01 03:00:00,765.41,North Delhi,TPDDL-North
2023-01-01 03:00:00,693.96,West Delhi,BRPL-West
2023-01-01 03:00:00,530.46,East Delhi,BYPL-East
2023-01-01 03:00:00,253.74,Central Delhi,NDMC-Central
2023-01-01 04:00:00,916.55,South Delhi,BRPL-South
2023-01-01 04:00:00,745.45,North Delhi,TPDDL-North
2023-01-01 04:00:00,681.49,West Delhi,BRPL-West
2023-01-01 04:00:00,497.83,East Delhi,BYPL-East
2023-01-01 04:00:00,252.28,Central Delhi,NDMC-Central
2023-01-01 05:00:00,982.56,South Delhi,BRPL-South
2023-01-01 05:00:00,783.24,North Delhi,TPDDL-North
2023-01-01 05:00:00,712.81,West Delhi,BRPL-West
2023-01-01 05:00:00,536.52,East Delhi,BYPL-East
2023-01-01 05:00:00,280.58,Central Delhi,NDMC-Central
2023-01-01 06:00:00,999.19,South Delhi,BRPL-South
2023-01-01 06:00:00,797.07,North Delhi,TPDDL-North
2023-01-01 06:00:00,751.74,West Delhi,BRPL-West
2023-01-01 06:00:00,550.77,East Delhi,BYPL-East
2023-01-01 06:00:00,277.96,Central Delhi,NDMC-Central
2023-01-01 07:00:00,1076.76,South Delhi,BRPL-South
2023-01-01 07:00:00,860.37,North Delhi,TPDDL-North
2023-01-01 07:00:00,790.35,West Delhi,BRPL-West
2023-01-01 07:00:00,585.49,East Delhi,BYPL-East
2023-01-01 07:00:00,289.56,Central Delhi,NDMC-Central
2023-01-01 08:00:00,1178.44,South Delhi,BRPL-South
2023-01-01 08:00:00,946.28,North Delhi,TPDDL-North
2023-01-01 08:00:00,872.91,West Delhi,BRPL-West
2023-01-01 08:00:00,606.1,East Delhi,BYPL-East
2023-01-01 08:00:00,309.18,Central Delhi,NDMC-Central
2023-01-01 09:00:00,1215.88,South Delhi,BRPL-South
2023-01-01 09:00:00,976.24,North Delhi,TPDDL-North
2023-01-01 09:00:00,921.09,West Delhi,BRPL-West
2023-01-01 09:00:00,640.59,East Delhi,BYPL-East
2023-01-01 09:00:00,341.31,Central Delhi,NDMC-Central
2023-01-01 10:00:00,1193.15,South Delhi,BRPL-South
2023-01-01 10:00:00,960.98,North Delhi,TPDDL-North
2023-01-01 10:00:00,887.46,West Delhi,BRPL-West
2023-01-01 10:00:00,649.7,East Delhi,BYPL-East
2023-01-01 10:00:00,331.41,Central Delhi,NDMC-Central
2023-01-01 11:00:00,1261.57,South Delhi,BRPL-South
2023-01-01 11:00:00,1027.67,North Delhi,TPDDL-North
2023-01-01 11:00:00,927.36,West Delhi,BRPL-West
2023-01-01 11:00:00,657.4,East Delhi,BYPL-East
2023-01-01 11:00:00,321.27,Central Delhi,NDMC-Central
2023-01-01 12:00:00,1292.62,South Delhi,BRPL-South
2023-01-01 12:00:00,1030.27,North Delhi,TPDDL-North
2023-01-01 12:00:00,952.81,West Delhi,BRPL-West
2023-01-01 12:00:00,679.01,East Delhi,BYPL-East
2023-01-01 12:00:00,345.09,Central Delhi,NDMC-Central
2023-01-01 13:00:00,1326.09,South Delhi,BRPL-South
2023-01-01 13:00:00,1071.43,North Delhi,TPDDL-North
2023-01-01 13:00:00,965.94,West Delhi,BRPL-West
2023-01-01 13:00:00,704.28,East Delhi,BYPL-East
2023-01-01 13:00:00,349.14,Central Delhi,NDMC-Central
2023-01-01 14:00:00,1286.25,South Delhi,BRPL-South
2023-01-01 14:00:00,1016.12,North Delhi,TPDDL-North
2023-01-01 14:00:00,938.08,West Delhi,BRPL-West
2023-01-01 14:00:00,689.32,East Delhi,BYPL-East
2023-01-01 14:00:00,347.75,Central Delhi,NDMC-Central
2023-01-01 15:00:00,1289.84,South Delhi,BRPL-South
2023-01-01 15:00:00,1026.71,North Delhi,TPDDL-North
2023-01-01 15:00:00,945.77,West Delhi,BRPL-West
2023-01-01 15:00:00,663.39,East Delhi,BYPL-East
2023-01-01 15:00:00,322.64,Central Delhi,NDMC-Central
2023-01-01 16:00:00,1191.32,South Delhi,BRPL-South
2023-01-01 16:00:00,971.02,North Delhi,TPDDL-North
2023-01-01 16:00:00,871.02,West Delhi,BRPL-West
2023-01-01 16:00:00,637.68,East Delhi,BYPL-East
2023-01-01 16:00:00,341.16,Central Delhi,NDMC-Central
2023-01-01 17:00:00,1319.7,South Delhi,BRPL-South
2023-01-01 17:00:00,1032.91,North Delhi,TPDDL-North
2023-01-01 17:00:00,956.59,West Delhi,BRPL-West
2023-01-01 17:00:00,683.69,East Delhi,BYPL-East
2023-01-01 17:00:00,343.88,Central Delhi,NDMC-Central
2023-01-01 18:00:00,1385.65,South Delhi,BRPL-South
2023-01-01 18:00:00,1135.77,North Delhi,TPDDL-North
2023-01-01 18:00:00,1038.71,West Delhi,BRPL-West
2023-01-01 18:00:00,743.92,East Delhi,BYPL-East
2023-01-01 18:00:00,354.73,Central Delhi,NDMC-Central
2023-01-01 19:00:00,1417.82,South Delhi,BRPL-South
2023-01-01 19:00:00,1144.1,North Delhi,TPDDL-North
2023-01-01 19:00:00,1045.88,West Delhi,BRPL-West
2023-01-01 19:00:00,784.43,East Delhi,BYPL-East
2023-01-01 19:00:00,376.61,Central Delhi,NDMC-Central
2023-01-01 20:00:00,1372.31,South Delhi,BRPL-South
2023-01-01 20:00:00,1099.0,North Delhi,TPDDL-North
2023-01-01 20:00:00,1024.78,West Delhi,BRPL-West
2023-01-01 20:00:00,742.99,East Delhi,BYPL-East
2023-01-01 20:00:00,370.59,Central Delhi,NDMC-Central
2023-01-01 21:00:00,1331.75,South Delhi,BRPL-South
2023-01-01 21:00:00,1070.07,North Delhi,TPDDL-North
2023-01-01 21:00:00,975.79,West Delhi,BRPL-West
2023-01-01 21:00:00,713.93,East Delhi,BYPL-East
2023-01-01 21:00:00,339.24,Central Delhi,NDMC-Central
2023-01-01 22:00:00,1152.95,South Delhi,BRPL-South
2023-01-01 22:00:00,902.97,North Delhi,TPDDL-North
2023-01-01 22:00:00,832.71,West Delhi,BRPL-West
2023-01-01 22:00:00,621.39,East Delhi,BYPL-East
2023-01-01 22:00:00,320.91,Central Delhi,NDMC-Central
2023-01-01 23:00:00,1129.87,South Delhi,BRPL-South
2023-01-01 23:00:00,875.14,North Delhi,TPDDL-North
2023-01-01 23:00:00,781.67,West Delhi,BRPL-West
2023-01-01 23:00:00,547.3,East Delhi,BYPL-East
2023-01-01 23:00:00,293.66,Central Delhi,NDMC-Central
