timestamp,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m,is_synthetic
2023-01-01 00:00:00,10.56,86.3,9.36,0.0,7.62,True
2023-01-01 01:00:00,9.1,79.5,7.9,0.0,10.03,True
2023-01-01 02:00:00,8.7,85.3,7.5,0.0,13.18,True
2023-01-01 03:00:00,8.73,79.6,7.53,0.0,12.6,True
2023-01-01 04:00:00,7.98,84.1,6.78,0.0,19.18,True
2023-01-01 05:00:00,7.92,81.2,6.72,0.0,6.2,True
2023-01-01 06:00:00,8.82,82.2,7.62,0.0,20.54,True
2023-01-01 07:00:00,9.84,75.4,8.64,0.0,13.55,True
2023-01-01 08:00:00,11.21,79.1,10.01,0.0,9.35,True
2023-01-01 09:00:00,12.39,63.4,11.19,0.0,10.26,True
2023-01-01 10:00:00,14.31,69.5,14.31,0.0,6.94,True
2023-01-01 11:00:00,16.11,62.7,16.11,0.59,6.08,True
2023-01-01 12:00:00,17.44,55.0,17.44,0.0,9.95,True
2023-01-01 13:00:00,18.94,64.4,18.94,0.0,4.89,True
2023-01-01 14:00:00,19.84,62.3,19.84,0.0,7.58,True
2023-01-01 15:00:00,19.83,45.8,19.83,0.0,6.58,True
2023-01-01 16:00:00,19.93,54.9,19.93,0.0,20.06,True
2023-01-01 17:00:00,19.1,58.1,19.1,0.0,6.0,True
2023-01-01 18:00:00,18.67,58.9,18.67,0.0,10.1,True
2023-01-01 19:00:00,17.54,65.9,17.54,0.0,7.45,True
2023-01-01 20:00:00,16.13,68.3,16.13,0.0,32.43,True
2023-01-01 21:00:00,14.38,67.7,14.38,0.0,15.93,True
2023-01-01 22:00:00,13.37,79.4,12.17,0.0,8.18,True
2023-01-01 23:00:00,11.85,77.5,10.65,0.0,2.73,True
2023-01-02 00:00:00,10.36,75.5,9.16,0.0,18.16,True
2023-01-02 01:00:00,9.19,77.2,7.99,0.0,9.83,True
2023-01-02 02:00:00,8.7,86.1,7.5,0.0,15.27,True
2023-01-02 03:00:00,8.5,78.8,7.3,0.0,5.58,True
2023-01-02 04:00:00,8.71,80.2,7.51,0.0,11.96,True
2023-01-02 05:00:00,9.3,79.8,8.1,0.0,14.82,True
2023-01-02 06:00:00,10.93,80.2,9.73,0.0,9.86,True
2023-01-02 07:00:00,11.81,75.4,10.61,0.0,4.44,True
2023-01-02 08:00:00,12.89,67.7,11.69,0.0,5.28,True
2023-01-02 09:00:00,13.99,74.0,12.79,0.0,9.33,True
2023-01-02 10:00:00,15.73,64.1,15.73,0.0,7.07,True
2023-01-02 11:00:00,17.59,70.3,17.59,0.0,9.17,True
2023-01-02 12:00:00,18.78,60.3,18.78,0.0,9.69,True
2023-01-02 13:00:00,19.43,61.7,19.43,0.0,6.83,True
2023-01-02 14:00:00,19.78,57.4,19.78,0.0,6.75,True
2023-01-02 15:00:00,20.37,59.3,20.37,0.0,18.28,True
2023-01-02 16:00:00,20.59,56.5,20.59,0.0,22.42,True
2023-01-02 17:00:00,20.33,56.2,20.33,0.0,3.62,True
2023-01-02 18:00:00,19.22,61.6,19.22,0.0,3.26,True
2023-01-02 19:00:00,18.18,69.8,18.18,0.0,3.36,True
2023-01-02 20:00:00,16.85,62.0,16.85,0.0,7.05,True
2023-01-02 21:00:00,15.43,69.8,15.43,0.0,3.69,True
2023-01-02 22:00:00,14.23,70.3,14.23,0.0,2.0,True
2023-01-02 23:00:00,12.81,75.8,11.61,0.0,12.29,True
2023-01-03 00:00:00,11.72,77.1,10.52,0.0,13.95,True
2023-01-03 01:00:00,10.65,70.7,9.45,0.0,8.28,True
2023-01-03 02:00:00,9.98,80.3,8.78,0.0,6.58,True
2023-01-03 03:00:00,9.82,85.9,8.62,0.0,15.77,True
2023-01-03 04:00:00,9.22,78.8,8.02,0.55,7.57,True
2023-01-03 05:00:00,9.48,84.4,8.28,0.0,21.34,True
2023-01-03 06:00:00,10.06,79.6,8.86,0.0,10.11,True
2023-01-03 07:00:00,10.89,75.4,9.69,0.0,10.08,True
2023-01-03 08:00:00,12.1,76.6,10.9,0.0,20.62,True
2023-01-03 09:00:00,14.17,72.1,14.17,0.0,23.86,True
2023-01-03 10:00:00,15.3,67.4,15.3,0.0,27.64,True
2023-01-03 11:00:00,17.13,66.3,17.13,0.0,8.83,True
2023-01-03 12:00:00,17.71,59.9,17.71,0.0,4.76,True
2023-01-03 13:00:00,18.61,50.0,18.61,0.0,8.71,True
2023-01-03 14:00:00,19.4,53.4,19.4,0.0,7.22,True
2023-01-03 15:00:00,19.98,46.8,19.98,0.0,7.53,True
2023-01-03 16:00:00,20.21,56.8,20.21,0.0,10.07,True
2023-01-03 17:00:00,20.07,58.8,20.07,0.0,2.0,True
2023-01-03 18:00:00,19.09,60.9,19.09,0.0,7.08,True
2023-01-03 19:00:00,17.77,61.8,17.77,0.0,4.52,True
2023-01-03 20:00:00,16.77,66.9,16.77,0.0,7.48,True
2023-01-03 21:00:00,15.18,60.3,15.18,0.0,13.45,True
2023-01-03 22:00:00,13.13,69.9,11.93,0.0,20.6,True
2023-01-03 23:00:00,11.23,68.1,10.03,0.0,14.2,True
2023-01-04 00:00:00,9.57,75.4,8.37,0.0,10.13,True
2023-01-04 01:00:00,8.78,85.8,7.58,0.0,6.32,True
2023-01-04 02:00:00,8.15,85.5,6.95,0.0,11.51,True
2023-01-04 03:00:00,8.11,84.6,6.91,0.0,19.12,True
2023-01-04 04:00:00,7.99,81.1,6.79,0.0,12.41,True
2023-01-04 05:00:00,8.51,76.8,7.31,0.0,6.97,True
2023-01-04 06:00:00,9.57,79.6,8.37,0.0,10.92,True
2023-01-04 07:00:00,10.56,80.6,9.36,0.46,10.0,True
2023-01-04 08:00:00,12.08,74.6,10.88,0.0,7.53,True
2023-01-04 09:00:00,13.29,63.0,12.09,0.0,10.19,True
2023-01-04 10:00:00,14.66,66.1,14.66,0.0,16.16,True
2023-01-04 11:00:00,15.98,54.6,15.98,0.0,9.46,True
2023-01-04 12:00:00,16.81,62.3,16.81,0.0,2.61,True
2023-01-04 13:00:00,18.08,53.8,18.08,0.0,3.79,True
2023-01-04 14:00:00,18.64,50.0,18.64,0.0,14.89,True
2023-01-04 15:00:00,19.03,57.3,19.03,0.0,9.39,True
2023-01-04 16:00:00,19.22,56.4,19.22,0.0,26.71,True
2023-01-04 17:00:00,18.98,56.2,18.98,0.0,11.66,True
2023-01-04 18:00:00,18.47,65.9,18.47,0.0,4.73,True
2023-01-04 19:00:00,17.32,62.4,17.32,0.0,2.88,True
2023-01-04 20:00:00,15.83,60.5,15.83,0.0,9.75,True
2023-01-04 21:00:00,14.33,68.7,14.33,0.0,7.02,True
2023-01-04 22:00:00,12.16,69.1,10.96,0.0,9.81,True
2023-01-04 23:00:00,10.18,78.8,8.98,0.0,13.34,True
2023-01-05 00:00:00,8.41,78.0,7.21,0.0,16.76,True
2023-01-05 01:00:00,7.08,80.9,5.88,0.0,13.86,True
2023-01-05 02:00:00,6.63,75.3,5.43,0.0,4.37,True
2023-01-05 03:00:00,6.03,82.2,4.83,0.0,3.83,True
2023-01-05 04:00:00,6.04,81.6,4.84,0.0,10.99,True
2023-01-05 05:00:00,7.11,76.7,5.91,0.0,8.17,True
2023-01-05 06:00:00,7.85,77.9,6.65,0.0,2.0,True
2023-01-05 07:00:00,9.33,77.9,8.13,0.0,5.34,True
2023-01-05 08:00:00,10.36,72.9,9.16,0.0,18.08,True
2023-01-05 09:00:00,11.83,63.7,10.63,0.0,13.14,True
2023-01-05 10:00:00,13.05,64.6,11.85,0.0,9.88,True
2023-01-05 11:00:00,14.46,60.4,14.46,0.0,4.82,True
2023-01-05 12:00:00,16.18,59.9,16.18,0.0,15.65,True
2023-01-05 13:00:00,16.6,57.0,16.6,0.0,19.26,True
2023-01-05 14:00:00,17.59,53.3,17.59,0.0,16.22,True
2023-01-05 15:00:00,18.12,52.3,18.12,0.0,9.06,True
2023-01-05 16:00:00,17.92,54.5,17.92,0.0,3.36,True
2023-01-05 17:00:00,16.99,59.1,16.99,0.0,7.29,True
2023-01-05 18:00:00,16.34,58.3,16.34,0.0,28.78,True
2023-01-05 19:00:00,15.13,65.5,15.13,0.0,5.37,True
2023-01-05 20:00:00,14.0,67.6,14.0,0.0,11.23,True
2023-01-05 21:00:00,12.64,72.6,11.44,0.0,10.1,True
2023-01-05 22:00:00,11.87,75.8,10.67,0.0,27.43,True
2023-01-05 23:00:00,10.38,80.0,9.18,0.0,7.15,True
2023-01-06 00:00:00,8.73,72.3,7.53,0.0,12.01,True
2023-01-06 01:00:00,7.84,82.0,6.64,0.0,19.1,True
2023-01-06 02:00:00,7.29,86.0,6.09,0.0,9.11,True
2023-01-06 03:00:00,7.55,87.5,6.35,0.0,8.29,True
2023-01-06 04:00:00,7.97,78.7,6.77,0.0,10.99,True
2023-01-06 05:00:00,8.57,83.4,7.37,0.0,8.32,True
2023-01-06 06:00:00,9.96,79.1,8.76,0.0,13.7,True
2023-01-06 07:00:00,10.57,83.5,9.37,0.0,9.13,True
2023-01-06 08:00:00,11.65,67.4,10.45,0.0,4.04,True
2023-01-06 09:00:00,12.77,66.3,11.57,0.0,14.8,True
2023-01-06 10:00:00,14.16,58.5,14.16,0.0,11.73,True
2023-01-06 11:00:00,15.1,62.8,15.1,0.0,16.58,True
2023-01-06 12:00:00,16.7,68.2,16.7,0.0,13.53,True
2023-01-06 13:00:00,17.7,56.4,17.7,0.0,5.36,True
2023-01-06 14:00:00,17.87,55.3,17.87,0.0,6.97,True
2023-01-06 15:00:00,17.89,56.3,17.89,0.0,19.35,True
2023-01-06 16:00:00,18.06,53.7,18.06,0.0,7.72,True
2023-01-06 17:00:00,18.04,56.7,18.04,0.0,9.57,True
2023-01-06 18:00:00,18.1,58.7,18.1,0.0,3.67,True
2023-01-06 19:00:00,18.18,56.5,18.18,0.0,18.36,True
2023-01-06 20:00:00,16.97,62.7,16.97,0.0,6.25,True
2023-01-06 21:00:00,15.05,69.6,15.05,0.0,6.19,True
2023-01-06 22:00:00,12.66,74.0,11.46,0.0,7.22,True
2023-01-06 23:00:00,11.34,79.0,10.14,0.0,6.84,True
2023-01-07 00:00:00,9.72,78.2,8.52,0.0,7.09,True
2023-01-07 01:00:00,8.55,80.8,7.35,0.0,3.75,True
2023-01-07 02:00:00,7.63,84.1,6.43,0.0,3.49,True
2023-01-07 03:00:00,7.27,79.6,6.07,0.0,11.23,True
2023-01-07 04:00:00,7.8,79.3,6.6,0.0,8.8,True
2023-01-07 05:00:00,8.32,80.3,7.12,0.0,7.38,True
2023-01-07 06:00:00,9.08,73.7,7.88,0.0,13.73,True
2023-01-07 07:00:00,9.79,77.8,8.59,0.0,6.03,True
2023-01-07 08:00:00,10.49,77.1,9.29,0.0,7.67,True
2023-01-07 09:00:00,11.85,66.5,10.65,0.0,11.52,True
2023-01-07 10:00:00,13.42,67.5,12.22,0.0,4.45,True
2023-01-07 11:00:00,15.65,59.7,15.65,0.0,8.53,True
2023-01-07 12:00:00,17.02,55.1,17.02,0.0,5.93,True
2023-01-07 13:00:00,18.48,64.8,18.48,0.0,7.0,True
2023-01-07 14:00:00,19.01,50.9,19.01,0.0,17.48,True
2023-01-07 15:00:00,18.9,49.0,18.9,0.0,14.3,True
2023-01-07 16:00:00,18.5,55.0,18.5,0.0,8.02,True
2023-01-07 17:00:00,17.83,56.3,17.83,0.0,11.0,True
2023-01-07 18:00:00,17.96,59.8,17.96,0.0,10.1,True
2023-01-07 19:00:00,16.55,67.9,16.55,0.0,10.56,True
2023-01-07 20:00:00,15.59,60.0,15.59,0.0,10.37,True
2023-01-07 21:00:00,13.78,64.3,12.58,0.0,15.44,True
2023-01-07 22:00:00,12.67,76.7,11.47,0.0,12.9,True
2023-01-07 23:00:00,11.4,77.5,10.2,0.0,7.03,True
2023-01-08 00:00:00,10.04,80.1,8.84,0.0,10.59,True
2023-01-08 01:00:00,9.0,77.0,7.8,0.0,15.36,True
2023-01-08 02:00:00,8.03,85.6,6.83,0.0,10.23,True
2023-01-08 03:00:00,7.89,85.1,6.69,0.0,9.27,True
2023-01-08 04:00:00,7.77,82.6,6.57,0.0,19.28,True
2023-01-08 05:00:00,7.75,78.4,6.55,0.0,10.16,True
2023-01-08 06:00:00,8.08,79.2,6.88,0.0,18.56,True
2023-01-08 07:00:00,9.33,82.7,8.13,0.0,22.4,True
2023-01-08 08:00:00,11.36,68.6,10.16,0.0,9.84,True
2023-01-08 09:00:00,12.92,66.2,11.72,0.0,14.76,True
2023-01-08 10:00:00,14.41,63.2,14.41,0.0,8.51,True
2023-01-08 11:00:00,16.0,60.6,16.0,0.0,7.43,True
2023-01-08 12:00:00,17.82,59.1,17.82,0.0,6.88,True
2023-01-08 13:00:00,18.94,60.5,18.94,0.0,5.14,True
2023-01-08 14:00:00,19.47,56.7,19.47,0.0,13.71,True
2023-01-08 15:00:00,20.26,54.3,20.26,0.0,24.99,True
2023-01-08 16:00:00,20.35,55.3,20.35,0.0,10.54,True
2023-01-08 17:00:00,20.49,57.7,20.49,0.0,4.94,True
2023-01-08 18:00:00,19.7,50.5,19.7,0.0,8.64,True
2023-01-08 19:00:00,18.05,64.1,18.05,0.0,17.69,True
2023-01-08 20:00:00,16.13,59.8,16.13,0.0,11.68,True
2023-01-08 21:00:00,15.31,64.9,15.31,0.0,10.89,True
2023-01-08 22:00:00,14.44,71.6,14.44,0.0,20.37,True
2023-01-08 23:00:00,12.85,73.5,11.65,0.0,2.0,True
2023-01-09 00:00:00,11.33,78.8,10.13,0.0,15.24,True
2023-01-09 01:00:00,10.82,79.9,9.62,0.0,9.57,True
2023-01-09 02:00:00,9.59,79.9,8.39,0.0,20.52,True
2023-01-09 03:00:00,8.83,88.0,7.63,0.0,15.33,True
2023-01-09 04:00:00,9.1,84.6,7.9,0.0,8.82,True
2023-01-09 05:00:00,9.34,82.0,8.14,0.0,8.14,True
2023-01-09 06:00:00,10.1,81.6,8.9,0.0,17.76,True
2023-01-09 07:00:00,11.11,73.3,9.91,0.0,7.77,True
2023-01-09 08:00:00,12.55,81.6,11.35,0.0,10.35,True
2023-01-09 09:00:00,14.56,65.0,14.56,0.0,4.11,True
2023-01-09 10:00:00,16.05,66.2,16.05,0.0,17.51,True
2023-01-09 11:00:00,17.7,61.1,17.7,0.0,9.37,True
2023-01-09 12:00:00,18.09,57.8,18.09,0.0,10.01,True
2023-01-09 13:00:00,19.09,54.8,19.09,0.0,16.56,True
2023-01-09 14:00:00,19.44,51.8,19.44,0.0,15.37,True
2023-01-09 15:00:00,19.29,58.8,19.29,0.0,5.01,True
2023-01-09 16:00:00,18.91,49.4,18.91,0.0,23.26,True
2023-01-09 17:00:00,18.38,59.2,18.38,0.0,6.75,True
