timestamp,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m
2023-01-01 00:00:00,9.2,90,7.4,0.0,8.1
2023-01-01 01:00:00,8.8,91,6.9,0.0,8.0
2023-01-01 02:00:00,8.2,92,6.4,0.0,6.8
2023-01-01 03:00:00,7.9,93,6.1,0.0,6.9
2023-01-01 04:00:00,7.9,93,6.0,0.0,6.9
2023-01-01 05:00:00,8.0,95,6.3,0.0,6.9
2023-01-01 06:00:00,8.0,95,6.2,0.0,7.2
2023-01-01 07:00:00,8.1,95,6.3,0.0,7.6
2023-01-01 08:00:00,9.5,90,7.7,0.0,8.7
2023-01-01 09:00:00,12.0,84,10.8,0.0,6.9
2023-01-01 10:00:00,14.4,75,13.5,0.0,6.5
2023-01-01 11:00:00,16.2,68,15.3,0.0,6.3
2023-01-01 12:00:00,17.3,63,16.7,0.0,5.5
2023-01-01 13:00:00,18.0,60,17.2,0.0,6.0
2023-01-01 14:00:00,18.3,56,17.3,0.0,5.9
2023-01-01 15:00:00,18.2,55,17.1,0.0,5.8
2023-01-01 16:00:00,17.4,62,16.7,0.0,5.0
2023-01-01 17:00:00,16.8,63,16.0,0.0,4.9
2023-01-01 18:00:00,15.8,67,15.6,0.0,1.1
2023-01-01 19:00:00,14.9,71,14.5,0.0,1.8
2023-01-01 20:00:00,12.0,82,11.2,0.0,3.9
2023-01-01 21:00:00,10.6,85,9.3,0.0,5.5
2023-01-01 22:00:00,10.8,82,9.4,0.0,5.6
2023-01-01 23:00:00,11.2,78,9.7,0.0,5.4
2023-01-02 00:00:00,9.3,86,7.4,0.0,7.3
2023-01-02 01:00:00,8.6,90,6.7,0.0,8.1
2023-01-02 02:00:00,8.1,92,6.1,0.0,8.5
2023-01-02 03:00:00,7.3,95,5.1,0.0,9.2
2023-01-02 04:00:00,8.9,92,7.3,0.0,6.1
2023-01-02 05:00:00,6.5,95,4.6,0.0,5.1
2023-01-02 06:00:00,6.7,95,5.0,0.0,4.6
2023-01-02 07:00:00,6.3,95,4.4,0.0,5.0
2023-01-02 08:00:00,8.8,91,7.2,0.0,6.4
2023-01-02 09:00:00,12.1,83,11.3,0.0,4.0
2023-01-02 10:00:00,15.0,73,14.6,0.0,3.1
2023-01-02 11:00:00,16.6,65,16.3,0.0,2.0
2023-01-02 12:00:00,17.5,58,17.0,0.0,2.4
2023-01-02 13:00:00,18.0,55,17.1,0.0,4.1
2023-01-02 14:00:00,18.2,53,16.9,0.0,5.8
2023-01-02 15:00:00,17.9,53,16.4,0.0,7.0
2023-01-02 16:00:00,17.0,59,15.9,0.0,4.9
2023-01-02 17:00:00,15.2,68,14.5,0.0,3.7
2023-01-02 18:00:00,14.1,73,13.7,0.0,1.3
2023-01-02 19:00:00,13.3,76,12.8,0.0,2.2
2023-01-02 20:00:00,12.8,77,12.0,0.0,3.9
2023-01-02 21:00:00,12.4,79,11.3,0.0,5.2
2023-01-02 22:00:00,12.2,80,11.3,0.0,4.3
2023-01-02 23:00:00,11.7,82,10.6,0.0,5.0
